scenario,param,value,notes
Base-level Sequencing,rep_sizes.Gas Turbine,100.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,rep_sizes.Gas Turbine,100.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,rep_sizes.Gas Turbine,100.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,rep_sizes.Gas Turbine,100.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,rep_sizes.Gas Turbine,100.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,rep_sizes.Solar,200.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,rep_sizes.Solar,200.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,rep_sizes.Solar,200.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,rep_sizes.Solar,200.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,rep_sizes.Solar,200.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,rep_sizes.Transmission,500.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,rep_sizes.Transmission,500.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,rep_sizes.Transmission,500.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,rep_sizes.Transmission,500.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,rep_sizes.Transmission,500.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,subtract_initial_queue,True,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,subtract_initial_queue,True,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,subtract_initial_queue,True,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,subtract_initial_queue,True,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,subtract_initial_queue,False,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,zones,,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,zones,,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,zones,,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,zones,,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,zones,,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
